hoursWorked,mood,focus,meetingHours,tasksCompleted,burnoutRisk
9,6,7,3,12,HIGH
12,8,9,6,1,HIGH
9,5,2,8,7,HIGH
11,7,3,1,3,HIGH
7,10,3,8,4,HIGH
7,7,8,1,10,MEDIUM
6,8,6,2,4,MEDIUM
11,3,6,8,10,HIGH
4,10,4,2,10,MEDIUM
6,1,1,6,0,HIGH
7,6,4,3,11,HIGH
11,6,3,6,8,HIGH
12,1,8,4,9,HIGH
9,8,5,5,13,HIGH
9,5,8,7,10,HIGH
10,2,10,4,5,HIGH
10,9,2,5,2,HIGH
8,10,2,5,11,HIGH
8,6,3,7,10,HIGH
9,10,8,3,4,MEDIUM
8,2,5,1,0,HIGH
12,4,8,1,8,HIGH
12,6,5,6,4,HIGH
11,9,9,3,13,MEDIUM
7,4,10,5,13,HIGH
7,6,7,6,4,HIGH
8,9,5,2,6,MEDIUM
11,2,10,7,7,HIGH
5,9,4,8,9,HIGH
8,5,5,7,4,HIGH
4,1,3,6,11,HIGH
8,3,1,6,7,HIGH
5,4,2,8,12,HIGH
12,10,3,2,14,HIGH
6,5,10,0,10,MEDIUM
10,8,1,6,12,HIGH
5,7,9,2,14,MEDIUM
10,2,9,4,5,HIGH
6,1,3,0,12,HIGH
9,2,2,7,11,HIGH
6,6,7,5,6,HIGH
6,3,10,0,5,MEDIUM
4,6,5,8,11,HIGH
11,8,8,7,2,HIGH
4,2,1,5,13,HIGH
5,9,3,4,11,HIGH
6,2,1,4,0,HIGH
7,10,8,7,10,MEDIUM
7,2,5,4,5,HIGH
6,4,7,4,9,HIGH
10,8,10,7,12,HIGH
11,8,10,6,8,HIGH
7,9,3,0,9,MEDIUM
10,1,3,3,10,HIGH
10,2,7,5,0,HIGH
8,5,6,4,12,HIGH
7,2,9,2,13,HIGH
8,1,9,6,4,HIGH
10,4,7,2,5,HIGH
7,1,7,5,11,HIGH
8,5,9,8,3,HIGH
10,2,2,3,0,HIGH
9,4,6,2,11,HIGH
7,1,10,1,3,HIGH
12,4,4,0,6,HIGH
11,2,6,3,13,HIGH
11,1,5,6,0,HIGH
4,8,7,7,7,MEDIUM
8,9,9,6,6,MEDIUM
9,3,7,5,10,HIGH
10,8,9,7,2,HIGH
8,7,10,8,12,HIGH
8,8,10,3,13,MEDIUM
6,4,9,4,4,HIGH
9,1,3,7,3,HIGH
7,3,9,5,0,HIGH
5,6,7,3,7,MEDIUM
11,5,2,5,1,HIGH
4,1,5,8,15,HIGH
8,10,7,1,7,MEDIUM
4,7,7,8,1,HIGH
4,2,4,0,2,HIGH
7,4,9,5,5,HIGH
11,9,1,8,9,HIGH
5,7,10,2,2,MEDIUM
4,7,2,2,10,HIGH
4,4,8,0,12,MEDIUM
7,2,9,8,11,HIGH
6,4,7,6,9,HIGH
6,2,9,1,8,HIGH
12,9,5,8,2,HIGH
12,9,2,4,10,HIGH
5,2,1,7,1,HIGH
12,1,4,0,14,HIGH
8,9,9,6,4,MEDIUM
